iter	Logloss
0	0.6929349545
1	0.6927457734
2	0.6925194988
3	0.6923063143
4	0.6921036018
5	0.6919076063
6	0.6916934793
7	0.691483975
8	0.6912802938
9	0.6910803489
10	0.6908659639
11	0.6906586362
12	0.6904756074
13	0.6902695064
14	0.6900455395
15	0.6898518404
16	0.6896605873
17	0.6894698092
18	0.6892539618
19	0.6890459647
20	0.6888632725
21	0.6886643187
22	0.6884609031
23	0.6882605505
24	0.6880732843
25	0.6878787026
26	0.6876817348
27	0.6874682922
28	0.6872665296
29	0.6870957157
30	0.6869097884
31	0.6867029133
32	0.6865065439
33	0.6863087944
34	0.6861265659
35	0.6859359449
36	0.6857434202
37	0.6855421626
38	0.6853677358
39	0.6851774439
40	0.6849781984
41	0.6848054285
42	0.6845941551
43	0.6844165942
44	0.6842320843
45	0.6840388752
46	0.6838544626
47	0.6836848904
48	0.6834854916
49	0.6832935391
50	0.6831243446
51	0.6829355038
52	0.6827452381
53	0.6825724756
54	0.6823741876
55	0.6821983022
56	0.6820278212
57	0.6818413029
58	0.6816622685
59	0.6814913461
60	0.6812970598
61	0.6811103023
62	0.6809422298
63	0.6807581126
64	0.6805829827
65	0.6804172665
66	0.6802235824
67	0.6800540251
68	0.6798866632
69	0.6797071874
70	0.6795252956
71	0.67935465
72	0.6791823588
73	0.6789913937
74	0.6788368899
75	0.678652971
76	0.6784710007
77	0.6783088037
78	0.6781400618
79	0.677976683
80	0.6778097438
81	0.6776235771
82	0.677453586
83	0.677279421
84	0.6771135065
85	0.6769575704
86	0.6767894119
87	0.6766141773
88	0.6764517746
89	0.6762910027
90	0.676114747
91	0.6759594953
92	0.6757851134
93	0.6756219067
94	0.6754457633
95	0.6752960169
96	0.6751417675
97	0.674974357
98	0.6748184134
99	0.6746548027
100	0.6744688268
101	0.674305362
102	0.6741539438
103	0.6739926894
104	0.6738350627
105	0.6736802523
106	0.6735152766
107	0.6733595536
108	0.6732003076
109	0.6730551502
110	0.672901271
111	0.672730487
112	0.6725690755
113	0.6724035014
114	0.6722585534
115	0.6721024676
116	0.6719497554
117	0.6717987486
118	0.6716404675
119	0.6714844004
120	0.6713434804
121	0.671183535
122	0.6710272062
123	0.6708856504
124	0.67073504
125	0.670582526
126	0.6704243421
127	0.6702547063
128	0.6701068785
129	0.6699564963
130	0.6698155202
131	0.6696723001
132	0.6695245958
133	0.669369086
134	0.6692219239
135	0.6690743991
136	0.6689270725
137	0.6687793793
138	0.6686373411
139	0.6684933954
140	0.6683544801
141	0.6682084063
142	0.66806099
143	0.6679167601
144	0.6677726199
145	0.6676256149
146	0.6674780041
147	0.6673383819
148	0.6672018602
149	0.6670531983
150	0.6669076781
151	0.6667703748
152	0.6666381765
153	0.6664846489
154	0.6663479514
155	0.6662135727
156	0.6660701955
157	0.6659334158
158	0.6657989099
159	0.6656560788
160	0.6655249464
161	0.6653915887
162	0.6652474075
163	0.6650973244
164	0.664967329
165	0.6648254254
166	0.6646912936
167	0.6645525204
168	0.6644256441
169	0.6642795966
170	0.6641499602
171	0.6640207951
172	0.6638859526
173	0.6637581003
174	0.6636278655
175	0.6634861639
176	0.6633532887
177	0.6632264461
178	0.6630941618
179	0.6629550295
180	0.6628327834
181	0.6627032555
182	0.6625755565
183	0.6624426925
184	0.6623097014
185	0.6621781389
186	0.6620562892
187	0.6619212149
188	0.6617923452
189	0.6616618823
190	0.6615364872
191	0.6614123935
192	0.661287017
193	0.6611590936
194	0.6610236041
195	0.6609075178
196	0.6607902459
197	0.6606697277
198	0.6605420923
199	0.6604126018
200	0.6602868214
201	0.660160293
202	0.6600393933
203	0.6599088556
204	0.6597862355
205	0.6596603204
206	0.6595465155
207	0.6594302048
208	0.6593076334
209	0.6591752331
210	0.6590553395
211	0.6589342154
212	0.6588064528
213	0.6586850594
214	0.6585827439
215	0.6584695411
216	0.6583410081
217	0.6582216493
218	0.6581066551
219	0.6579825951
220	0.6578624509
221	0.6577436045
222	0.6576350057
223	0.6575152804
224	0.6573961085
225	0.6572786759
226	0.657179012
227	0.6570558683
228	0.6569395202
229	0.6568316357
230	0.6567140684
231	0.6565865264
232	0.656473507
233	0.6563605398
234	0.6562457887
235	0.6561284196
236	0.6560126774
237	0.6559101898
238	0.6558027729
239	0.6556896786
240	0.6555757279
241	0.6554588749
242	0.6553487015
243	0.6552350799
244	0.6551263839
245	0.6550188735
246	0.6549180988
247	0.654804264
248	0.6546901262
249	0.6545798444
250	0.6544664285
251	0.6543572762
252	0.6542401539
253	0.6541458345
254	0.6540364017
255	0.6539334766
256	0.6538331881
257	0.6537179807
258	0.6536124263
259	0.6535076797
260	0.6533918141
261	0.6532915294
262	0.6531862816
263	0.6530891871
264	0.65298698
265	0.6528701757
266	0.6527617414
267	0.6526618344
268	0.6525560033
269	0.6524543422
270	0.6523595329
271	0.65225902
272	0.6521541537
273	0.652045828
274	0.6519434414
275	0.6518355307
276	0.6517313377
277	0.6516416559
278	0.6515457245
279	0.6514449536
280	0.6513393319
281	0.651229929
282	0.6511288289
283	0.6510364805
284	0.6509382079
285	0.6508341981
286	0.650738091
287	0.6506389731
288	0.650538479
289	0.6504330555
290	0.6503556671
291	0.6502492637
292	0.6501574538
293	0.6500505904
294	0.6499494829
295	0.649846726
296	0.6497626542
297	0.6496735671
298	0.6495700024
299	0.6494601058
300	0.6493692871
301	0.6492890675
302	0.6491940412
303	0.6491027587
304	0.6489987901
305	0.64889208
306	0.6488004347
307	0.6487096197
308	0.648628798
309	0.6485274922
310	0.6484241743
311	0.6483418678
312	0.648257265
313	0.6481577731
314	0.6480642728
315	0.6479720815
316	0.6478751814
317	0.6477928637
318	0.6477010988
319	0.6476132757
320	0.6475216604
321	0.6474164239
322	0.6473416834
323	0.6472439382
324	0.6471566612
325	0.6470672749
326	0.6469640617
327	0.6468690878
328	0.6467921594
329	0.6467122316
330	0.646616951
331	0.6465289111
332	0.646444297
333	0.6463240406
334	0.6462405859
335	0.6461607703
336	0.6460670306
337	0.6459720006
338	0.6458919418
339	0.6458061571
340	0.6457176796
341	0.6456233752
342	0.6455394268
343	0.6454582648
344	0.645373905
345	0.6452840176
346	0.6451938458
347	0.6451160086
348	0.645032741
349	0.6449490694
350	0.6448644516
351	0.644784232
352	0.6446962407
353	0.6446035856
354	0.6445184891
355	0.644441471
356	0.6443660124
357	0.6442776584
358	0.6441867461
359	0.6441051764
360	0.6440268306
361	0.6439501753
362	0.6438706401
363	0.6437903233
364	0.6437090603
365	0.6436291587
366	0.6435438078
367	0.6434635695
368	0.643378862
369	0.6432993268
370	0.6432204387
371	0.6431447259
372	0.6430675956
373	0.6429893433
374	0.6429054398
375	0.6427922146
376	0.642720627
377	0.6426411555
378	0.6425666095
379	0.6424879869
380	0.6424115934
381	0.6423357422
382	0.6422567718
383	0.6421801501
384	0.6420996987
385	0.6420218017
386	0.6419445517
387	0.6418720066
388	0.6417983396
389	0.6417223986
390	0.6416480097
391	0.6415701763
392	0.641496412
393	0.6414272741
394	0.6413522981
395	0.6412665508
396	0.6411948098
397	0.6411302572
398	0.641061224
399	0.6409857393
400	0.64090963
401	0.6408420031
402	0.640771515
403	0.6406991458
404	0.640583815
405	0.6405119992
406	0.640440348
407	0.6403719095
408	0.6402949363
409	0.6401900139
410	0.6401304654
411	0.6400632237
412	0.6399823347
413	0.6399115026
414	0.6398507648
415	0.6397711848
416	0.6397003115
417	0.6396311362
418	0.6395664489
419	0.6394899357
420	0.6394219647
421	0.6393624237
422	0.6392888576
423	0.6392216982
424	0.6391523882
425	0.639089182
426	0.63901455
427	0.6389466538
428	0.6388874793
429	0.6388186518
430	0.6387400592
431	0.6386723687
432	0.6386167135
433	0.6385504367
434	0.638442586
435	0.6383369792
436	0.6382684173
437	0.6382079861
438	0.6381392634
439	0.6380718347
440	0.638005124
441	0.6379338543
442	0.6378755438
443	0.6377790813
444	0.6377093862
445	0.6376465427
446	0.6375773151
447	0.6375044334
448	0.6374511494
449	0.6373827296
450	0.6373203612
451	0.6372511522
452	0.6371856833
453	0.6371356232
454	0.6370632389
455	0.6369891081
456	0.6369397287
457	0.6368300379
458	0.6367377231
459	0.6366684618
460	0.6366042083
461	0.6365002023
462	0.6364481413
463	0.6363773503
464	0.636313411
465	0.6362544572
466	0.6361933828
467	0.6361262383
468	0.6360682344
469	0.636014008
470	0.6359379884
471	0.6358769776
472	0.6357852837
473	0.6357136101
474	0.6356576146
475	0.6355976808
476	0.6355365428
477	0.6354285836
478	0.6353819194
479	0.6353166637
480	0.6352479372
481	0.635195951
482	0.6351307252
483	0.6350747895
484	0.6350192279
485	0.6349579515
486	0.6349027937
487	0.6348373697
488	0.6347858248
489	0.6347255807
490	0.6346218925
491	0.6345603282
492	0.6345053051
493	0.6344491226
494	0.6343951617
495	0.6343310803
496	0.6342742695
497	0.6342153194
498	0.6341545142
499	0.6341014883
500	0.6340476845
501	0.6339815984
502	0.6338828994
503	0.6338222364
504	0.6337731787
505	0.6337152795
506	0.6336577693
507	0.6336010146
508	0.6335465413
509	0.633479509
510	0.6334337836
511	0.6333826277
512	0.6333204275
513	0.6332638299
514	0.6332155912
515	0.6331517941
516	0.6330998976
517	0.6330478815
518	0.6329928098
519	0.6329397016
520	0.6328806767
521	0.6327857365
522	0.6326820147
523	0.6326280238
524	0.6325717142
525	0.6325118066
526	0.6324630742
527	0.6324054855
528	0.6323526915
529	0.6322984875
530	0.6322462956
531	0.6321932622
532	0.6321400941
533	0.6320830066
534	0.6320303696
535	0.631931824
536	0.6318843295
537	0.631832003
538	0.6317758729
539	0.6317177418
540	0.6316728991
541	0.6316235982
542	0.6315647304
543	0.6315196483
544	0.6314206277
545	0.631324255
546	0.6312740864
547	0.6311795987
548	0.6311384287
549	0.6310820479
550	0.6309804467
551	0.6309292796
552	0.630834747
553	0.6307845336
554	0.6307371887
555	0.6306403673
556	0.6305501619
557	0.6304962645
558	0.6304042116
559	0.6303498393
560	0.6303022476
561	0.6302567204
562	0.6301639157
563	0.6301082942
564	0.630061933
565	0.6299614949
566	0.6299260508
567	0.6298182187
568	0.6297781931
569	0.6297295542
570	0.6296358482
571	0.6295464506
572	0.6294519891
573	0.6294022581
574	0.6293598052
575	0.6292713015
576	0.6292125684
577	0.6291614985
578	0.6291216075
579	0.6290292927
580	0.6289811064
581	0.628934158
582	0.6288795949
583	0.6288004001
584	0.6287008522
585	0.6286542666
586	0.6286024599
587	0.6285241141
588	0.6284720531
589	0.6284276255
590	0.6283764022
591	0.6283240346
592	0.6282451427
593	0.628151676
594	0.6281009091
595	0.6280209177
596	0.6279229891
597	0.6278388575
598	0.6277834679
599	0.6277021413
600	0.6276447171
601	0.6276017519
602	0.6275572382
603	0.627510978
604	0.6274612059
605	0.6274179788
606	0.6273729079
607	0.6273253125
608	0.6272843481
609	0.6271905822
610	0.6271512635
611	0.6270578828
612	0.6270199029
613	0.6269735978
614	0.6269285269
615	0.6268358569
616	0.6267511343
617	0.6267106262
618	0.6266609327
619	0.6266211838
620	0.6265775416
621	0.6265278218
622	0.6264406833
623	0.626392381
624	0.6263533203
625	0.6263141212
626	0.6262257447
627	0.6261427313
628	0.6260957792
629	0.6260575675
630	0.6260053157
631	0.6259693966
632	0.6259173356
633	0.6258714831
634	0.6258313752
635	0.625783215
636	0.6257350848
637	0.6257003326
638	0.6256557553
639	0.6256186095
640	0.6255200901
641	0.6254866169
642	0.6254401772
643	0.6254045723
644	0.6253522869
645	0.625321701
646	0.6252747452
647	0.625228455
648	0.625196044
649	0.6251454192
650	0.6250660412
651	0.6250215238
652	0.6249815243
653	0.6249355222
654	0.6249044052
655	0.6248584554
656	0.624810759
657	0.6247351808
658	0.6246926831
659	0.6246108291
660	0.6245676095
661	0.6245301533
662	0.6244431531
663	0.6243999522
664	0.6243094513
665	0.6242694855
666	0.6242308026
667	0.6241909153
668	0.6241073896
669	0.6240671994
670	0.6239906488
671	0.6239040002
672	0.6238721315
673	0.6238294505
674	0.623789451
675	0.6237007042
676	0.6236660642
677	0.6236306762
678	0.6235891995
679	0.623508561
680	0.623425226
681	0.6233881999
682	0.6233422239
683	0.6233098466
684	0.6232313437
